"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_a",0,NA,NA,NA,NA
"asc_b",0.00547445541376043,NA,NA,NA,NA
"b_tt_pt_business",-0.0167590613683316,0.0031248557513867,-5.36314719836093,NA,NA
"b_tt_pt_commuters",-0.0299569480917155,0.00482860441188071,-6.20405929672077,NA,NA
"b_tt_pt_leisure",-0.0121540192781908,0.00177068162676307,-6.86403421964073,NA,NA
"b_tt_pt_shopping",-0.0167498587071487,0.00477485238269126,-3.50793225940694,NA,NA
"b_tt_car_business",-0.0296639946177317,0.00629848833435862,-4.70970065244273,NA,NA
"b_tt_car_commuters",-0.040392225341567,0.00711492040007329,-5.6771155642375,NA,NA
"b_tt_car_leisure",-0.0190625175599148,0.00365827142686769,-5.21079912767343,NA,NA
"b_tt_car_shopping",-0.028067655134157,0.00804685998306866,-3.48802578809796,NA,NA
"b_dc",-2.89138078543933,0.682133989490181,-4.23872850493833,NA,NA
"b_car_inertia",1.39887985159501,0.321715097968279,4.34819459959861,NA,NA
"b_bus_disc",0.241975494685444,0.0937463696089575,2.58117189705364,NA,NA
"b_rail_disc",0.649643947763398,0.133163891770276,4.87852930045114,NA,NA
"lam_dist_tt_pt_business",0.194383714943175,0.0748610021939945,2.59659514628792,NA,NA
"lam_dist_tt_pt_commuters",0.0127388717484657,0.176063416705279,0.0723538824069846,NA,NA
"lam_dist_tt_pt_leisure",3.51813592267659e-07,NA,NA,NA,NA
"lam_dist_tt_pt_shopping",0.0179623567765272,0.334890500686313,0.0536365072754103,NA,NA
"lam_dist_tt_car_business",2.49708888458175e-07,NA,NA,NA,NA
"lam_dist_tt_car_commuters",0.126476363587502,0.144119683915874,0.877578691203132,NA,NA
"lam_dist_tt_car_leisure",0.000863705992329575,0.0495097883866897,0.0174451562099945,NA,NA
"lam_dist_tt_car_shopping",0.0344750503956524,0.2182680362854,0.157948231827101,NA,NA
"mu_mc_car_bus",2.87981748912094,1.08166345620753,2.66239695220729,NA,NA
"mu_mc_car_rail",1.58477905619816,0.337040254018595,4.70204682468204,NA,NA
"mu_rc_bus",1.2527454124496,NA,NA,NA,NA
"mu_rc_car",1.26239503693621,0.259138431954236,4.87150835719788,NA,NA
"mu_rc_rail_by_car",0.790161198824747,0.176881740321592,4.46717223263486,NA,NA
"mu_rc_rail",1,NA,NA,NA,NA
