"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_a",0,NA,NA,NA,NA
"asc_b",-0.0292306458919908,0.0134661347447721,-2.17067825667933,NA,NA
"b_tt_pt_business",-0.0373957216349895,0.0115011007924774,-3.25149064509106,NA,NA
"b_tt_pt_commuters",-0.0502372309782515,0.00468186056360648,-10.7301852107175,NA,NA
"b_tt_pt_leisure",-0.0207208393663421,0.00251829345002775,-8.22812741148725,NA,NA
"b_tt_pt_shopping",-0.0350737152038172,0.0138946271297649,-2.52426458632219,NA,NA
"b_tt_car_business",-0.0387188408023485,0.00738696099757362,-5.24151147069362,NA,NA
"b_tt_car_commuters",-0.0563797886575327,0.00678190529408901,-8.31326687895101,NA,NA
"b_tt_car_leisure",-0.0283080207803618,0.00237265469565678,-11.9309484149466,NA,NA
"b_tt_car_shopping",-0.0447635340203209,0.00749360999110981,-5.97356068349261,NA,NA
"b_dc",-0.0295114202738141,0.00436665447260255,-6.75835939366761,NA,NA
"b_tc_business",-0.0349649800295712,NA,NA,NA,NA
"b_tc_commuters",-0.109584222948471,0.0102199944786349,-10.7225325001455,NA,NA
"b_tc_leisure",-0.0519785513698423,0.00404658841382528,-12.84503044398,NA,NA
"b_tc_shopping",-0.105214225617512,0.0168587380296037,-6.24093128636067,NA,NA
"b_ic_business",0.0282645897340522,NA,NA,NA,NA
"b_ic_commuters",-0.0431329281412525,NA,NA,NA,NA
"b_ic_leisure",-0.0876755896602865,NA,NA,NA,NA
"b_ic_shopping",0.0664300693895036,NA,NA,NA,NA
"b_hw_business",0.0282645897340514,NA,NA,NA,NA
"b_hw_commuters",-0.0431329281412506,NA,NA,NA,NA
"b_hw_leisure",-0.0876755896602832,NA,NA,NA,NA
"b_hw_shopping",0.0664300693894879,NA,NA,NA,NA
"b_bus_commuters",0.443495731488311,NA,NA,NA,NA
"b_bus_leisure",0.332288694934544,NA,NA,NA,NA
"b_bus_shopping",0.524436132510303,NA,NA,NA,NA
"b_rail_business",-0.0894077773902725,NA,NA,NA,NA
"b_rail_commuters",-0.621839928604224,NA,NA,NA,NA
"b_rail_leisure",-0.358482704553928,NA,NA,NA,NA
"b_rail_shopping",-0.628349292165089,NA,NA,NA,NA
"b_car_inertia",1.41251021820065,0.135342292374543,10.4365767227565,NA,NA
"b_car_available",0.331253033414347,NA,NA,NA,NA
"b_car_male",-0.16335695914977,0.0415718325272594,-3.92951066188034,NA,NA
"b_bus_disc",0.310965398417004,NA,NA,NA,NA
"b_rail_disc",1.04190913704306,0.118885846383561,8.76394599304579,NA,NA
"b_bus_ga",0.9403286688374,NA,NA,NA,NA
"b_rail_ga",1.1589310519138,0.178874930985471,6.47900209117583,NA,NA
"lam_dist_tt_pt_business",0.0463235272540724,0.212676167878965,0.21781249735718,NA,NA
"lam_dist_tt_pt_commuters",0.054571737461502,0.0820419095522879,0.665169030795434,NA,NA
"lam_dist_tt_pt_leisure",0.144081988289552,0.0703500948212863,2.0480709891802,NA,NA
"lam_dist_tt_pt_shopping",0.258570389284358,0.916329724707841,0.282180510259885,NA,NA
"lam_dist_tt_car_business",0.0288046715713644,0.140656609443965,0.204787188353489,NA,NA
"lam_dist_tt_car_commuters",0.17857698704782,0.093911733635135,1.90154073549132,NA,NA
"lam_dist_tt_car_leisure",1.1749284226575e-07,NA,NA,NA,NA
"lam_dist_tt_car_shopping",0.261894450943333,0.328816471213388,0.796476070608322,NA,NA
"lam_dist_tc",2.26254674019186e-07,NA,NA,NA,NA
"lam_inc_tc_business",0.0936370906401673,NA,NA,NA,NA
"lam_inc_tc_commuters",-0.167465147926616,0.079240946392339,-2.11336632828007,NA,NA
"mu_mc_car_bus",1.56206956936438,NA,NA,NA,NA
"mu_mc_car_rail",0.83320632587613,0.0460517573609701,18.092823675439,NA,NA
"mu_rc_bus",0.893141379183868,2.06380181561431,0.432765090342754,NA,NA
"mu_rc_car",2.40589707566216,0.318311261072936,7.55831593124469,NA,NA
"mu_rc_rail_by_car",1.78160946965727,0.303096734603528,5.87802264510616,NA,NA
"mu_rc_rail",1,NA,NA,NA,NA
