"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_a",0,NA,NA,NA,NA
"asc_b",-1.46186266981728,NA,NA,NA,NA
"b_tt_pt_business",-0.0884650557851069,NA,NA,NA,NA
"b_tt_pt_commuters",-0.0595994259920517,NA,NA,NA,NA
"b_tt_pt_leisure",-0.0316095044121078,NA,NA,NA,NA
"b_tt_pt_shopping",-0.0313143034406561,NA,NA,NA,NA
"b_tt_car_business",-0.0946026706142471,NA,NA,NA,NA
"b_tt_car_commuters",-0.0653732277271617,NA,NA,NA,NA
"b_tt_car_leisure",-0.0295867870943342,NA,NA,NA,NA
"b_tt_car_shopping",-0.0190249900593715,NA,NA,NA,NA
"b_dc",-0.0492481766391474,NA,NA,NA,NA
"b_tc_business",-0.120929634278093,NA,NA,NA,NA
"b_tc_commuters",-0.261492592250565,NA,NA,NA,NA
"b_tc_leisure",-0.10410341424518,NA,NA,NA,NA
"b_tc_shopping",-0.333912656916422,NA,NA,NA,NA
"b_ic_business",-0.665296110216547,NA,NA,NA,NA
"b_ic_commuters",-1.12466478298626,NA,NA,NA,NA
"b_ic_leisure",-0.71295870168627,NA,NA,NA,NA
"b_ic_shopping",-0.920903266851368,NA,NA,NA,NA
"b_hw_business",0.333903118162373,NA,NA,NA,NA
"b_hw_commuters",0.248339193035883,NA,NA,NA,NA
"b_hw_leisure",0.401239524816355,NA,NA,NA,NA
"b_hw_shopping",0.297298214773677,NA,NA,NA,NA
"b_bus_commuters",1.52175418331027,NA,NA,NA,NA
"b_bus_leisure",0.00198088982547295,NA,NA,NA,NA
"b_bus_shopping",1.27852515482989,NA,NA,NA,NA
"b_rail_business",1.50126292982427,NA,NA,NA,NA
"b_rail_commuters",-0.0879428206997442,NA,NA,NA,NA
"b_rail_leisure",1.38852032194028,NA,NA,NA,NA
"b_rail_shopping",0.0645571940980718,NA,NA,NA,NA
"b_car_inertia",1.44863865747318,NA,NA,NA,NA
"b_car_available",-0.0252210827588521,NA,NA,NA,NA
"b_car_male",0.0433230068067478,NA,NA,NA,NA
"b_bus_disc",-0.200368239140323,NA,NA,NA,NA
"b_rail_disc",0.303332254457425,NA,NA,NA,NA
"b_bus_ga",1.02300278393299,NA,NA,NA,NA
"b_rail_ga",-0.906304850984736,NA,NA,NA,NA
"mu_mc_car_bus",-0.972125328340101,NA,NA,NA,NA
"mu_mc_car_rail",0.612935791567893,NA,NA,NA,NA
"mu_rc_bus",2.81579525179613,NA,NA,NA,NA
"mu_rc_car",0.110228422372937,NA,NA,NA,NA
"mu_rc_rail_by_car",0.158791832403491,NA,NA,NA,NA
"mu_rc_rail",1,NA,NA,NA,NA
