"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_a",0,NA,NA,NA,NA
"asc_b",-0.0189101955263987,0.0186348766684695,-1.01477438583723,0.0233979267651012,-0.808199620258827
"b_tt_pt_business",-0.083643513793424,0.00812422270703945,-10.29557125766,0.0100405199294552,-8.33059586367087
"b_tt_pt_commuters",-0.105504045070527,0.00785046609223244,-13.4392077911039,0.0115009581755174,-9.17350045625922
"b_tt_pt_leisure",-0.0436812797858548,0.00291195800127733,-15.0006558359338,0.00448571557331478,-9.73786212521182
"b_tt_pt_shopping",-0.0786521760601648,0.00998827439646894,-7.87445087491488,0.0193600874585709,-4.06259404708137
"b_tt_car_business",-0.0790572749712764,0.0087152620554198,-9.07112998651747,0.0119309469493331,-6.6262364007658
"b_tt_car_commuters",-0.125745055241356,0.0104236353815322,-12.063454892536,0.0150422631047037,-8.35945059370994
"b_tt_car_leisure",-0.0485830347891026,0.00368944670758696,-13.168108564679,0.00620094029536086,-7.83478512532191
"b_tt_car_shopping",-0.110159325835556,0.0131482871563738,-8.37822634426985,0.020456891321324,-5.38494945811865
"b_dc",-0.0444957656395321,0.00597793515973639,-7.44333360107811,0.0083587283247364,-5.32326974999936
"b_tc_business",-0.105450440568441,0.0133761535841121,-7.88346514604111,0.0174307246780123,-6.04968769321792
"b_tc_commuters",-0.227813907911772,0.0196223590040726,-11.6099143769865,0.0317054742968088,-7.18531777128159
"b_tc_leisure",-0.0948682266297105,0.00718123134221103,-13.2105793712672,0.0111945065894238,-8.47453399324798
"b_tc_shopping",-0.232035572382039,0.0265466819379515,-8.74066193750257,0.0454301459174361,-5.10752425941437
"b_ic_business",-0.812330340954069,0.106401108311252,-7.63460413004145,0.137558321925773,-5.90535221411326
"b_ic_commuters",-1.16192851807612,0.0640585265923322,-18.1385457937648,0.100739252867835,-11.5340196100175
"b_ic_leisure",-1.05517493300599,0.0505428904974349,-20.8768220934958,0.0781157299564262,-13.5078419365034
"b_ic_shopping",-1.05427817969859,0.0815483916953736,-12.9282522656839,0.12523887086813,-8.41813865288428
"b_hw_business",-0.0154102510454562,0.0132393441745627,-1.16397389797182,0.0134909878635986,-1.14226261273544
"b_hw_commuters",-0.0654787803689738,0.00883328513676058,-7.41273256271072,0.0098111163623401,-6.67393780185032
"b_hw_leisure",-0.0392748490867504,0.00574780158791138,-6.83302102309032,0.00570778414097032,-6.88092753978493
"b_hw_shopping",-0.0515884289966317,0.00971589388805796,-5.30969456758274,0.00972921600332177,-5.30242405750044
"b_bus_commuters",2.94292882829572,0.376553269820075,7.81543825048156,0.565551966094505,5.20363999195071
"b_bus_leisure",1.93279544371071,0.373418924160956,5.17594400994422,0.749127340179441,2.58006261425159
"b_bus_shopping",2.97295247166888,0.489023177631548,6.07936925621312,0.793034259883791,3.74883232926725
"b_rail_business",1.1854928201256,0.675798399913393,1.75421075320321,0.868653882113552,1.36474704659252
"b_rail_commuters",1.33050097240312,0.357554653097454,3.72111217369751,0.491495531367016,2.70704591901894
"b_rail_leisure",1.18560152065395,0.296861069355264,3.99379252802965,0.431005567664114,2.75078005854879
"b_rail_shopping",1.19555970328144,0.400617968400698,2.98428876781094,0.526030921552979,2.2727935836012
"b_car_inertia",2.10404340192333,0.230408542056313,9.13179426051439,0.344759401100583,6.10293263999922
"b_car_available",0.651139157495967,0.157122639271203,4.14414600286889,0.254791706013572,2.55557438538161
"b_car_male",-0.340598012066756,0.133910826941102,-2.54346881314205,0.216731136639635,-1.5715232123434
"b_bus_disc",0.805228057199299,0.333887485269175,2.41167486870655,0.643012053025155,1.25227521538822
"b_rail_disc",1.90590153744369,0.209185708254973,9.11105043142157,0.340814722013343,5.59219251499669
"b_bus_ga",2.53430092489279,0.786865420561476,3.22075523802332,1.09295307867323,2.31876461519214
"b_rail_ga",2.07055983724158,0.306243543992705,6.76115424425375,0.460488023729312,4.49644666211497
"mu_mc_car_bus",0.713660482893616,0.106025619459566,6.73101922470516,0.127607195466414,5.59263511971354
"mu_mc_car_rail",0.567158708384905,0.0397202492391734,14.2788305523913,0.0545192030605336,10.4029163404164
"mu_rc_bus",0.693433495187903,0.0624676529396759,11.1006811134323,0.0838403754072429,8.27087774618908
"mu_rc_car",1.66231277744723,0.187142798140256,8.88259016091763,0.283790533723346,5.85753427232967
"mu_rc_rail_by_car",0.892253695685455,0.0572446513355973,15.5866735995056,0.0852161298900586,10.4704789672635
"mu_rc_rail",1,NA,NA,NA,NA
