"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_a",0,NA,NA,NA,NA
"asc_b",-0.0261034841144779,NA,NA,NA,NA
"b_tt_pt_business",-0.116585546570493,NA,NA,NA,NA
"b_tt_pt_commuters",-0.0775424331569391,NA,NA,NA,NA
"b_tt_pt_leisure",-0.0480746863425662,NA,NA,NA,NA
"b_tt_pt_shopping",-0.0657335290849335,NA,NA,NA,NA
"b_tt_car_business",-0.104524416627835,NA,NA,NA,NA
"b_tt_car_commuters",-0.112042503188984,NA,NA,NA,NA
"b_tt_car_leisure",-0.0899548293379028,NA,NA,NA,NA
"b_tt_car_shopping",-0.101111271880048,NA,NA,NA,NA
"b_dc",-0.0457406946985369,NA,NA,NA,NA
"b_tc_business",-0.220246203583392,NA,NA,NA,NA
"b_tc_commuters",-0.173570327757344,NA,NA,NA,NA
"b_tc_leisure",-0.177526291024867,NA,NA,NA,NA
"b_tc_shopping",-0.158516976781734,NA,NA,NA,NA
"b_ic_business",73.9391027007862,NA,NA,NA,NA
"b_ic_commuters",-1.17360263310632,NA,NA,NA,NA
"b_ic_leisure",-1.78981675121393,NA,NA,NA,NA
"b_ic_shopping",0.276025389709344,NA,NA,NA,NA
"b_hw_business",74.938302869698,NA,NA,NA,NA
"b_hw_commuters",0.1993973750946,NA,NA,NA,NA
"b_hw_leisure",-0.675616741087255,NA,NA,NA,NA
"b_hw_shopping",1.4942253786964,NA,NA,NA,NA
"b_bus_commuters",5.49510350555292,NA,NA,NA,NA
"b_bus_leisure",-1.58283259030074,NA,NA,NA,NA
"b_bus_shopping",8.37026769608178,NA,NA,NA,NA
"b_rail_business",-148.569509004521,NA,NA,NA,NA
"b_rail_commuters",-0.96530617860029,NA,NA,NA,NA
"b_rail_leisure",0.132815849196876,NA,NA,NA,NA
"b_rail_shopping",-3.18764237212144,NA,NA,NA,NA
"b_car_inertia",2.02005461331004,NA,NA,NA,NA
"b_car_available",0.557607956480803,NA,NA,NA,NA
"b_car_male",-0.244264651293972,NA,NA,NA,NA
"b_bus_disc",4.49580364804129,NA,NA,NA,NA
"b_rail_disc",1.6312986287107,NA,NA,NA,NA
"b_bus_ga",20.2071998889547,NA,NA,NA,NA
"b_rail_ga",1.80404247421914,NA,NA,NA,NA
"lam_dist_tt_pt_business",-0.329250201645318,NA,NA,NA,NA
"lam_dist_tt_pt_commuters",-0.244795546328018,NA,NA,NA,NA
"lam_dist_tt_pt_leisure",-0.285997885061531,NA,NA,NA,NA
"lam_dist_tt_pt_shopping",-0.189794462870604,NA,NA,NA,NA
"lam_dist_tt_car_business",-0.286925156349253,NA,NA,NA,NA
"lam_dist_tt_car_commuters",-0.248151701294528,NA,NA,NA,NA
"lam_dist_tt_car_leisure",-0.521116256274256,NA,NA,NA,NA
"lam_dist_tt_car_shopping",-0.223503269254737,NA,NA,NA,NA
"lam_dist_tc",-0.572266496466996,NA,NA,NA,NA
"lam_inc_tc_business",-0.818524298310545,NA,NA,NA,NA
"lam_inc_tc_commuters",-0.15428928986267,NA,NA,NA,NA
"mu_mc_car_bus",0.0746469563218742,NA,NA,NA,NA
"mu_mc_car_rail",0.495319471797689,NA,NA,NA,NA
"mu_rc_bus",1.01895640340351,NA,NA,NA,NA
"mu_rc_car",1.57925752253921,NA,NA,NA,NA
"mu_rc_rail_by_car",0.749641973978327,NA,NA,NA,NA
"mu_rc_rail",1,NA,NA,NA,NA
